N;Класс_id;Класс;Спек_id;Специализация;Роль;Ресурс;Ресурс2;HP_героя;ATK_героя;DEF_героя;Speed_героя;Слот;skill_id;Название_RU;Название_EN;Иконка;type;type_RU;power;cost;gen;cost_sec;gen_sec;руны;gen_runic;cd_ходы;spellId_WoW;Описание_сейчас;Что_даёт_сейчас;NEW_power;NEW_cost;NEW_gen;NEW_cost_sec;NEW_gen_sec;NEW_cd;NEW_type;NEW_описание;Флаг;Комментарий
1;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;1;ms;Смертельный удар;Mortal Strike;⚔️;damage;Урон (одна цель);45658;0;10;0;0;;0;1;12294;Генератор: +10 ярости.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.25 (модификаторы крита/мастерства/vers/баффы) | Ресурс: +10 Ярость | Перезарядка: 1 ход(а/ов);;;;;;;;;;Без изм
2;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;2;overpower;Превосходство;Overpower;💥;damage;Урон (одна цель);49310;10;0;0;0;;0;0;7384;Расход 10 ярости — быстрый удар.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.35 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −10 Ярость | Перезарядка: нет (0);;;;;;;;;;Без изм
3;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;3;colossus;Удар колосса;Colossus Smash;🔨;damage;Урон (одна цель);20090;20;0;0;0;;0;3;86346;Сильный расходник 20 ярости.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.55 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −20 Ярость | Перезарядка: 3 ход(а/ов);;;;;;;;;;Без изм
4;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;4;slam;Мощный удар;Slam;👊;damage;Урон (одна цель);46143;20;0;0;0;;0;0;1464;Расход 20 ярости.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.5 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −20 Ярость | Перезарядка: нет (0);;;;;;;;;;Без изм
5;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;5;whirlwind;Вихрь;Whirlwind;🌪️;aoe;Урон по области (все враги);0.95;30;0;0;0;;0;1;1680;Расход 30 ярости — по всем врагам.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.95 | Ресурс: −30 Ярость | Перезарядка: 1 ход(а/ов);;;;;;;;;;Без изм
6;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;6;rend;Кровопускание;Rend;🩸;dot;Урон со временем (DoT);0.65;10;0;0;0;;0;2;772;Расход 10 — кровотечение.;Тип: Урон со временем (DoT) | DoT: суммарный/тиковый урон завязан на power=0.65 (тик от ATK) | Ресурс: −10 Ярость | Перезарядка: 2 ход(а/ов);;;;;;;;;;Без изм
7;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;7;execute;Казнь;Execute;☠️;damage;Урон (одна цель);46024;30;0;0;0;;0;0;5308;Расход 30. Только ≤35% HP цели.;Тип: Урон (одна цель) | Урон ≈ ATK × 2.1 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −30 Ярость | Перезарядка: нет (0);;;;;;;;;;Без изм
8;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;8;reck;Безрассудство;Recklessness;🔥;buff;Бафф (усиление);0.35;0;0;0;0;;0;5;1719;+35% атаки на 3 хода.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.35) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;Без изм
9;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;9;charge;Рывок;Charge;🏃;damage;Урон (одна цель);0.55;0;15;0;0;;0;3;100;Рывок, +15 ярости.;Тип: Урон (одна цель) | Урон ≈ ATK × 0.55 (модификаторы крита/мастерства/vers/баффы) | Ресурс: +15 Ярость | Перезарядка: 3 ход(а/ов);;;;;;;;;;Без изм
10;warrior;Воин;arms;Оружие;Боец (DPS);Ярость;;110;17;5;10;10;heroic;Героический удар;Heroic Strike;🗡️;damage;Урон (одна цель);20090;30;0;0;0;;0;0;78;Расход 30 ярости — сильный удар.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.55 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −30 Ярость | Перезарядка: нет (0);;;;;;;;;;Без изм
11;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;1;bt;Кровавая жажда;Bloodthirst;🩸;damage;Урон (одна цель);46023;0;10;0;0;;0;1;23881;Генератор: +10 ярости, вампиризм.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.1 (модификаторы крита/мастерства/vers/баффы) | Ресурс: +10 Ярость | Перезарядка: 1 ход(а/ов);;;;;;;;;;Без изм
12;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;2;rb;Яростный выпад;Raging Blow;💢;damage;Урон (одна цель);20090;10;0;0;0;;0;0;85288;Расход 10 ярости — сильный удар.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.55 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −10 Ярость | Перезарядка: нет (0);;;;;;;;;;Без изм
13;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;3;ww;Вихрь;Whirlwind;🌪️;aoe;Урон по области (все враги);0.95;30;0;0;0;;0;0;1680;Расход 30 — по области.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.95 | Ресурс: −30 Ярость | Перезарядка: нет (0);;;;;;;;;;Без изм
14;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;4;wild_strike;Буйный удар;Wild Strike;⚡;damage;Урон (одна цель);23743;30;0;0;0;;0;0;100130;Главный расходник 30 ярости.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.65 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −30 Ярость | Перезарядка: нет (0);;;;;;;;;;Без изм
15;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;5;colossus;Удар колосса;Colossus Smash;🔨;damage;Урон (одна цель);46143;20;0;0;0;;0;3;86346;Расход 20 ярости (упрощ. для неистовства).;Тип: Урон (одна цель) | Урон ≈ ATK × 1.5 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −20 Ярость | Перезарядка: 3 ход(а/ов);;;;;;;;;;Без изм
16;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;6;execute;Казнь;Execute;☠️;damage;Урон (одна цель);46144;30;0;0;0;;0;0;5308;Расход 30. Только ≤35% HP.;Тип: Урон (одна цель) | Урон ≈ ATK × 2.05 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −30 Ярость | Перезарядка: нет (0);;;;;;;;;;Без изм
17;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;7;berserker;Ярость берсерка;Berserker Rage;😡;buff;Бафф (усиление);0.15;0;10;0;0;;0;3;18499;+атака и +10 ярости.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.15) — см. описание; длительность в бою по правилам type=buff | Ресурс: +10 Ярость | Перезарядка: 3 ход(а/ов)";;;;;;;;;;Без изм
18;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;8;reck;Безрассудство;Recklessness;🔥;buff;Бафф (усиление);0.35;0;0;0;0;;0;5;1719;+35% атаки на 3 хода.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.35) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;Без изм
19;warrior;Воин;fury;Неистовство;Боец (DPS);Ярость;;115;16;4;12;9;dragon_roar;Рёв дракона;Dragon Roar;🐉;aoe;Урон по области (все враги);0.85;0;0;0;0;;0;3;118000;Талант: урон по области (без ярости).;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.85 | Перезарядка: 3 ход(а/ов);;;;;;;;;;Без изм
20;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;1;shield_slam;Удар щитом;Shield Slam;🛡️;damage;Урон (одна цель);42005;0;15;0;0;;0;1;23922;Генератор: +15 ярости.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.15 (модификаторы крита/мастерства/vers/баффы) | Ресурс: +15 Ярость | Перезарядка: 1 ход(а/ов);;;;;;;;;;Убрать описание, увеличить урон до 18т, убрать КД , повысить ярость до +30
21;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;2;revenge;Реванш;Revenge;↩️;damage;Урон (одна цель);46143;0;10;0;0;;0;1;6572;Генератор: +10 ярости.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.05 (модификаторы крита/мастерства/vers/баффы) | Ресурс: +10 Ярость | Перезарядка: 1 ход(а/ов);;;;;;;;;;Убрать описание, вместо прибавки ярости расходует 15, КД 2, наносит АОЕ всем врагам , с 12т урон поднять до 17, добавить механику блока при получении физического урона и полного парирования  применяется автоматически вне кд и ходит ли сейчас персонаж сразу ответно на получаемый урон (блок должен быть с опред вероятностью в % 20 и уменьшать урон на 20% и дополнительно увеличивается уменьшаемый урон относительно уровня искуссности, вероятность парирование на уровне 5%)
22;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;3;devastate;Разрушение;Devastate;💥;damage;Урон (одна цель);0.9;0;5;0;0;;0;0;20243;Заполнитель: +5 ярости.;Тип: Урон (одна цель) | Урон ≈ ATK × 0.9 (модификаторы крита/мастерства/vers/баффы) | Ресурс: +5 Ярость | Перезарядка: нет (0);;;;;;;;;;удалить скилл
23;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;4;thunder;Удар грома;Thunder Clap;⛈️;aoe;Урон по области (все враги);0.9;20;0;0;0;;0;1;6343;Расход 20 — урон по области.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.9 | Ресурс: −20 Ярость | Перезарядка: 1 ход(а/ов);;;;;;;;;;Убрать описание, сделать бесплатным, увеличить КД 2, не тратит ход, дает 10 ярости, наносит АОЕ 20т
24;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;5;shield_block;Блок щитом;Shield Block;🧱;shield;Щит / поглощение;0.45;50;0;0;0;;0;2;2565;Расход 50 — сильный щит.;Тип: Щит / поглощение | Щит: сила поглощения связана с power=0.45 и HP/ATK героя | Ресурс: −50 Ярость | Перезарядка: 2 ход(а/ов);;;;;;;;;;убрать описание, 2 заряда, не тратит ход, повышает вероятность блокирования на 50% и силу блокирования на 20%, стоит 10 ярости, КД 5, действует в течении 2 ходов
25;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;6;shield_wall;Глухая оборона;Shield Wall;🏰;shield;Щит / поглощение;0.5;0;0;0;0;;0;5;871;Большой щит (перезарядка).;Тип: Щит / поглощение | Щит: сила поглощения связана с power=0.5 и HP/ATK героя | Перезарядка: 5 ход(а/ов);;;;;;;;;;Убрать описание, КД 8, не тратит ход, уменьшает весь получаемый урон (вне зависимости от типа) на 60% на 2 хода
26;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;7;last_stand;Ни шагу назад;Last Stand;❤️;buff;Бафф (усиление);0.3;0;0;0;0;;0;5;12975;+макс. здоровье на 3 хода.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.3) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;"Убрать описание, не тратит ход, КД 10, увеличвает максимальный запас здоровья на 50%,  вешает скилл ""Блок щитом"" , и это 3 хода действует "
27;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;8;taunt;Провокация;Taunt;📢;taunt;Провокация;0;0;0;0;0;;0;2;355;Агро.;Тип: Провокация | Сила (power)=0 — интерпретация по type в движке боя | Перезарядка: 2 ход(а/ов);;;;;;;;;;Убрать описание, не тратит ход
28;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;9;heroic_leap;Героический прыжок;Heroic Leap;🦘;aoe;Урон по области (все враги);0.75;15;0;0;0;;0;3;6544;Расход 15 — прыжок + урон.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.75 | Ресурс: −15 Ярость | Перезарядка: 3 ход(а/ов);;;;;;;;;;Убрать описание, не тратит ход, КД 5, наносит 2т урона АОЕ и уменьшает весь получаемый урон на 5% на 2 хода
29;warrior;Воин;protection;Защита;Танк;Ярость;;170;12;12;8;10;demo_shout;Деморализующий крик;Demoralizing Shout;😨;debuff;Дебафф;0.2;0;0;0;0;;0;3;1160;−атака врагов.;Тип: Дебафф | Сила (power)=0.2 — интерпретация по type в движке боя | Перезарядка: 3 ход(а/ов);;;;;;;;;;Убрать описание, вешает на всех врагов дебаф который уменьшает их наносимый урон на 15%, стоит 40 ярости
30;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;1;holy_shock;Шок небес;Holy Shock;✨;heal;Исцеление (цель/союзник);0.4;8;0;0;1;;0;1;20473;Лечение + 1 энергия Света.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.4 (от ATK/хил-мультипликаторов) | Ресурс: −8 Мана, +1 Энергия Света | Перезарядка: 1 ход(а/ов);;;;;;;;;;Убрать описание, снизить расход маны до 3, имеет повышенный шанс крита на 20%, уменьшить исцеление до 27т и добавить после применения на цель хотка на восстановление 7т хп каждый ход в течении 5 ходов, КД 2, можно применить на врага и тогда наносит 12т урона и 2т урона каждый ход в течении 5 ходов. дает 1 энергию света
31;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;2;word_glory;Слово славы;Word of Glory;💫;heal;Исцеление (цель/союзник);0.58;0;0;3;0;;0;0;85673;Расход 3 энергии Света — сильное лечение.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.58 (от ATK/хил-мультипликаторов) | Ресурс: −3 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание, увеличить исцеление до 80т
32;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;3;holy_light;Свет небес;Holy Light;🔆;heal;Исцеление (цель/союзник);0.52;16;0;0;0;;0;0;635;Сильное лечение за ману.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.52 (от ATK/хил-мультипликаторов) | Ресурс: −16 Мана | Перезарядка: нет (0);;;;;;;;;;Убрать описание, уменьшить исцеление до 45т
33;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;4;flash;Вспышка Света;Flash of Light;⚡;heal;Исцеление (цель/союзник);0.42;12;0;0;0;;0;0;19750;Быстрое лечение.;Тип: Исцеление (цель/союзник) | Исцеление завязано на power=0.42 (от ATK/хил-мультипликаторов) | Ресурс: −12 Мана | Перезарядка: нет (0);;;;;;;;;;Убрать описание уменьшить исцеление до 37т
34;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;5;holy_radiance;Сияние света;Holy Radiance;🌅;heal_aoe;heal_aoe;0.22;16;0;0;0;;0;1;82327;Лечение по области.;Тип: heal_aoe | Сила (power)=0.22 — интерпретация по type в движке боя | Ресурс: −16 Мана | Перезарядка: 1 ход(а/ов);;;;;;;;;;Убрать описание, убрать КД. повысить исцеление до 21т
