N;Класс;Специализация;Роль;class_id;spec_id;Комментарий_спека
1;Воин;Оружие;Боец (DPS);warrior;arms;Пока без изм
2;Воин;Неистовство;Боец (DPS);warrior;fury;Пока без изм
3;Воин;Защита;Танк;warrior;protection;Механика блока и парирования расписанная в одном из скиллов
4;Паладин;Свет;Целитель;paladin;holy;Пассивно каждый ход восстанавливает 4 ед маны
5;Паладин;Защита;Танк;paladin;protection;Пассивно восстанавливает 10 маны каждый ход. добавить механику повышения брони которая уменьшает физ урон, броня повышается от скиллов которые повышают броню
6;Паладин;Воздаяние;Боец (DPS);paladin;retribution;Пассивно каждый ход восстанавливает 10 маны
7;Охотник;Повелитель зверей;Боец (DPS);hunter;beast_mastery;
8;Охотник;Стрельба;Боец (DPS);hunter;marksmanship;Пока без изм
9;Охотник;Выживание;Боец (DPS);hunter;survival;Пока без изм
10;Разбойник;Ликвидация;Боец (DPS);rogue;assassination;Пока без изм
11;Разбойник;Бой;Боец (DPS);rogue;combat;Пока без изм
12;Разбойник;Скрытность;Боец (DPS);rogue;subtlety;Пока без изм
13;Жрец;Послушание;Целитель;priest;discipline;Пока без изм
14;Жрец;Свет;Целитель;priest;holy;Пока без изм
15;Жрец;Тьма;Боец (DPS);priest;shadow;Пока без изм
16;Рыцарь смерти;Кровь;Танк;deathknight;blood;Пока без изм
17;Рыцарь смерти;Лёд;Боец (DPS);deathknight;frost;Пока без изм
18;Рыцарь смерти;Нечестивость;Боец (DPS);deathknight;unholy;Пока без изм
19;Шаман;Стихии;Боец (DPS);shaman;elemental;Пока без изм
20;Шаман;Совершенствование;Боец (DPS);shaman;enhancement;Пока без изм
21;Шаман;Исцеление;Целитель;shaman;restoration;Пассивно восстанавливает 7 ед маны за ход, добавить пассивное возраждение в случае смерти с 60% хп и маны, может сработать 1 раз за ключ
22;Маг;Тайная магия;Боец (DPS);mage;arcane;Пока без изм
23;Маг;Огонь;Боец (DPS);mage;fire;Пока без изм
24;Маг;Лёд;Боец (DPS);mage;frost;Пока без изм
25;Чернокнижник;Колдовство;Боец (DPS);warlock;affliction;Пока без изм
26;Чернокнижник;Демонология;Боец (DPS);warlock;demonology;"Пассивно восстанавливает 10 маны каждый ход, пассивно призывает одного беса каждые 5 ходов, увеличить урон бесов на 15%, Добавить скилл ""Главарь бесов""(с своей уникальной иконкой) не тратит ход  исущесвтует 4 хода и наносит АОЕ 15т каждый ход и КД 8"
27;Чернокнижник;Разрушение;Боец (DPS);warlock;destruction;Пока без изм
28;Монах;Хмелевар;Танк;monk;brewmaster;Пассивно восстанавливает 35 энергии за ход, ввести механику уклонения которое повышается за каждый полученный удар на 15% и после уклонения счетчик сбрасывается. стагер должен заполняться до х2 хп танка и когда лимит достигнут уже напрямую идти в танка пока лимит не ослабнет. При получении исцеления имеет шанс равный шансу крита получить дополнительное лечение в размере 75% от полученного которое преобразуется в переодическое(хот) исцеление делится на исцеление в 5 раундов и обновляется в случае прока
29;Монах;Ткач туманов;Целитель;monk;mistweaver;Пока без изм
30;Монах;Танцующий с ветром;Боец (DPS);monk;windwalker;Пока без изм
31;Друид;Баланс;Боец (DPS);druid;balance;Пока без изм
32;Друид;Сила зверя;Боец (DPS);druid;feral;Пока без изм
33;Друид;Страж;Танк;druid;guardian;Пока без изм
34;Друид;Исцеление;Целитель;druid;restoration;Пока без изм
35;Гном-инженер;Механист;Боец (DPS);engineer;mechanist;Пока без изм
36;Гном-инженер;Сапёр;Боец (DPS);engineer;sapper;Пока без изм
37;Гном-инженер;Изобретатель;Боец (DPS);engineer;tinkerer;"Пассивно восстанавливает 5 пар каждый ход, не может повторно использовать навык призыва питомцев пока они не исчезнут,Добавить пассивный скилл ""Гаечный воскрешатель"" когда в отряде проседает ХП ниже 40% сразу восстанавливает 30% участнику внезависимости от хода, КД 3. ""Личный разрушитель миров"" сделать АОЕ урон в размере 30т. ""Скрап-бот"" наносит 14т"
